"Notes"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1999"	"1999"	3925	297942	1317.4
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2000"	"2000"	3870	302401	1279.8
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2001"	"2001"	3734	316708	1179.0
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2002"	"2002"	3872	308227	1256.2
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2003"	"2003"	3662	304284	1203.5
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2004"	"2004"	3725	310300	1200.5
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2005"	"2005"	3828	318126	1203.3
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2006"	"2006"	3972	326678	1215.9
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2007"	"2007"	3969	341912	1160.8
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2008"	"2008"	3795	343420	1105.1
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2009"	"2009"	3606	337020	1070.0
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2010"	"2010"	3285	330352	994.4
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2011"	"2011"	3227	335326	962.3
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2012"	"2012"	3123	330701	944.4
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2013"	"2013"	3245	330884	980.7
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2014"	"2014"	3176	332113	956.3
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2015"	"2015"	3256	335670	970.0
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2016"	"2016"	3287	333403	985.9
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2017"	"2017"	3128	330757	945.7
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2018"	"2018"	2956	322989	915.2
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2019"	"2019"	3044	315293	965.5
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"2020 "	"2020"	2854	328120	869.8
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1999"	"1999"	565	1226088	46.1
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"2000"	"2000"	556	1228210	45.3
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"2001"	"2001"	509	1217652	41.8
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"2002"	"2002"	494	1228911	40.2
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"2003"	"2003"	500	1232025	40.6
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"2004"	"2004"	523	1233915	42.4
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"2005"	"2005"	474	1239358	38.2
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"2006"	"2006"	511	1241597	41.2
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"2007"	"2007"	516	1259922	41.0
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"2008"	"2008"	471	1296651	36.3
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"2009"	"2009"	501	1328982	37.7
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"2010"	"2010"	446	1343498	33.2
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"2011"	"2011"	456	1349131	33.8
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"2012"	"2012"	443	1344076	33.0
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"2013"	"2013"	445	1332784	33.4
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"2014"	"2014"	426	1333368	31.9
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"2015"	"2015"	428	1335601	32.0
